,by,descendants,id,kids,score,time,title,type,url
0,thunderbong,25,39488668,"[39490123, 39488921, 39488913, 39489307, 39489235, 39490024, 39489543, 39489708, 39488874, 39488907, 39489061, 39489182, 39489777]",460,1708742731,GPT in 500 Lines of SQL,story,https://explainextended.com/2023/12/31/happy-new-year-15/
1,guardienaveugle,15,39489920,"[39490270, 39490272, 39490317, 39490314, 39490299, 39490215]",58,1708760835,Power Metal: is it really about dragons? (2018),story,https://notes.atomutek.org/power-metal-and-dragons.html
2,phreeza,2,39478074,[39490398],25,1708675423,Ten years of remembering every day that passes,story,http://lembransation.blogspot.com/2022/01/ten-years-of-remembering-every-day-that.html
3,ben_s,141,39486717,"[39488146, 39487422, 39487872, 39487848, 39488480, 39488440, 39490416, 39490192, 39488071, 39489710, 39489820, 39490190, 39487122, 39489964, 39489749, 39488841, 39487468, 39488144, 39487459, 39488143, 39488582, 39490167, 39488510, 39487650, 39487097, 39487086, 39487590, 39487179]",292,1708725898,Meta's new LLM-based test generator,story,https://read.engineerscodex.com/p/metas-new-llm-based-test-generator
4,corysama,72,39487124,"[39487524, 39487554, 39489642, 39487363, 39488158, 39488360, 39488536, 39487908, 39489910, 39487954, 39487387, 39487856, 39487152, 39489973, 39487474]",260,1708728406,Generative Models: What do they know? Do they know things? Let's find out,story,https://intrinsic-lora.github.io/
5,johnchristopher,18,39478860,"[39490254, 39489547, 39490470, 39489365, 39490249, 39489560, 39489772, 39490088, 39489721, 39490311, 39489976]",77,1708682613,"Shoes makes building little graphical programs for Mac, Windows, Linux simple",story,http://shoesrb.com/
6,digital55,2,39489660,"[39490040, 39490284]",24,1708757003,Never-Repeating Tiles Can Safeguard Quantum Information,story,https://www.quantamagazine.org/never-repeating-tiles-can-safeguard-quantum-information-20240223/
7,hackandthink,23,39490218,"[39490406, 39490380, 39490452, 39490431, 39490497, 39490437, 39490426, 39490483, 39490403, 39490395, 39490363]",32,1708765264,Argentina's Economy Is Screaming at Top of Its Lungs,story,https://www.nakedcapitalism.com/2024/02/after-just-a-month-a-half-of-mileis-high-voltage-shock-treatment-argentinas-economy-is-screaming.html
8,tosh,68,39465258,"[39486858, 39487225, 39486654, 39487066, 39487552, 39486756, 39486846, 39488470, 39488646, 39486648, 39489643, 39486728, 39489087, 39487116, 39486919, 39489097, 39486937, 39488097, 39488033, 39487093, 39487644, 39487332]",239,1708597328,LilyPond: Music notation for everyone,story,https://lilypond.org/
9,susam,3,39478441,"[39490341, 39490214, 39490327]",54,1708678655,Lisp Programming with Vim (2019),story,https://susam.net/lisp-in-vim.html
